run,dx,dy,dz,dvx,dvy,dvz,missDistance,interceptTime,hit
64,106.281,-32.5351,-73.6686,4444.35,10.5406,61.4827,11.0658,2.1147,0
65,18.0534,-37.3851,-138.74,4372.9,-32.4288,33.6794,12.3443,2.1339,0
66,-31.4101,47.2404,66.0181,4390.42,15.0934,-7.81365,11.4993,2.1441,0
67,-54.734,-112.765,38.5673,4386.81,-49.7794,40.3549,13.2748,2.1492,0
68,52.2128,-35.3265,-26.8178,4404.87,-6.30377,-55.0076,11.7562,2.1262,0
69,126.732,-69.8022,27.9553,4396.39,-12.214,0.516392,11.9279,2.1104,0
70,27.0233,144.168,70.6693,4402.31,3.45338,19.5824,10.0823,2.1318,0
71,-19.5424,35.0079,-72.443,4412.1,-8.66108,43.6348,11.5488,2.1417,0
72,-35.4873,69.1835,0.577599,4406.17,11.0598,-13.0633,12.8619,2.145,0
73,24.7923,7.008,-2.62607,4397.65,25.4973,16.6999,11.9918,2.1321,0
74,149.447,19.4967,-90.4243,4418.33,-27.3378,40.9848,12.2351,2.1055,0
75,-254.097,-108.378,22.1882,4375.44,9.72448,8.57363,9.17596,2.1919,1
76,120.624,-84.4491,6.15206,4388.88,21.1923,27.7838,10.7114,2.1117,0
77,-78.7109,-60.5049,-221.345,4413.18,-24.5177,-2.70886,15.5642,2.1548,0
78,-185.275,-41.6532,-58.4327,4376.21,-20.8596,-1.92575,13.2008,2.1772,0
79,-44.3108,-8.61755,145.326,4388.16,-6.59613,-8.86769,9.20097,2.147,1
80,-29.0669,131.621,37.658,4415.99,-2.15479,75.2235,9.52502,2.1436,1
81,28.2825,-129.467,-70.9605,4452.89,29.8185,7.37299,12.4808,2.1315,0
82,85.0824,166.539,-169.803,4388.1,-24.3831,17.1701,10.8555,2.1199,0
83,-289.38,-90.465,4.31254,4381.33,43.8035,28.5613,9.47234,2.1994,1
84,14.2143,9.0967,-1.18416,4373.21,30.4779,-10.2462,12.7735,2.1345,0
85,50.7367,76.08,-31.0818,4360.9,-30.1905,-7.86055,12.791,2.1268,0
86,107.207,-49.6367,18.7297,4438.9,-27.9088,-1.12616,11.3833,2.1144,0
87,-108.473,-32.6216,-7.90771,4397.16,-22.8359,31.18,9.04403,2.1606,1
88,-36.0563,91.8652,84.5642,4398.29,31.4021,30.8032,10.2279,2.1451,0
89,-65.0871,-11.5916,98.5428,4423.66,-5.59923,-1.89724,9.31793,2.1513,1
90,-58.1525,-58.6358,-23.8768,4404.84,-13.2356,40.1264,10.3831,2.1499,0
91,-26.5635,-12.8535,183.106,4420.84,-4.91039,-5.5405,9.44431,2.1432,1
92,-5.47503,100.507,-39.0093,4395.51,-27.2963,4.01964,12.6983,2.1387,0
93,74.7579,-233.939,-11.2812,4407.79,-6.97645,-36.6984,12.7123,2.1219,0
94,-30.7341,-81.3319,-116.624,4380.77,24.6172,-36.2964,11.0076,2.1442,0
95,-70.6547,106.825,-49.1416,4434.7,22.9138,14.8087,12.756,2.1525,0
96,-116.783,159.04,65.7191,4416.89,-12.9127,14.0407,11.565,2.1625,0
97,-185.241,-32.2557,63.8492,4400.26,-27.843,15.0193,7.81853,2.1769,1
98,7.40254,75.8657,25.6225,4410.01,-30.8209,41.9174,9.66557,2.1358,1
